fkalm7776l5aqr3b.onion220214222312;DisplayOverlay;2;0;-2;;fkalm7776l5aqr3b.onion;0,7575538;-0,5582535;0,525267421498384;0,518619967145309;
fkalm7776l5aqr3b.onion220214222389;DisplayOverlay;2;-7;-3;;fkalm7776l5aqr3b.onion;-6,247694;-2,334597;0,291614648647438;0,57786806427824;
fkalm7776l5aqr3b.onion220214222486;DisplayOverlay;2;-6;2;;fkalm7776l5aqr3b.onion;-5,520512;1,630045;0,315869046788989;0,445631538461441;
fkalm7776l5aqr3b.onion220214222830;DisplayLongOverlay;WrongSolution2;-6;2;
fkalm7776l5aqr3b.onion220214222895;DisplayOverlay;2;-2;3;;fkalm7776l5aqr3b.onion;-3,189412;2,247149;0,393620468134181;0,425048677033118;
fkalm7776l5aqr3b.onion220214222905;DisplayOverlay;2;-2;3;;fkalm7776l5aqr3b.onion;-1,932679;2,78028;0,435537495374998;0,407266641609801;
fkalm7776l5aqr3b.onion220214223111;DisplayOverlay;1;-8;1;;fkalm7776l5aqr3b.onion;-6,825066;0,6486148;0,272357002189465;0,47836612554673;
fkalm7776l5aqr3b.onion220214223184;DisplayOverlay;1;-2;-1;;fkalm7776l5aqr3b.onion;-1,893997;-0,8316243;0,436827696789701;0,527737966613084;
fkalm7776l5aqr3b.onion220214223340;DisplayOverlay;2;-2;-2;;fkalm7776l5aqr3b.onion;-1,727352;-1,573495;0,442385965549015;0,552482294098981;
fkalm7776l5aqr3b.onion220214223451;DisplayOverlay;2;0;-3;;fkalm7776l5aqr3b.onion;-1,619369;-1,130641;0,445987626242834;0,537711356867447;
fkalm7776l5aqr3b.onion220214223472;DisplayOverlay;2;0;-3;;fkalm7776l5aqr3b.onion;-1,759231;-1,692382;0,44132267630864;0,556447644881529;
fkalm7776l5aqr3b.onion220214223512;DisplayOverlay;2;-4;-3;;fkalm7776l5aqr3b.onion;-3,640426;-2,524055;0,378577370685707;0,584187235732346;
fkalm7776l5aqr3b.onion220214223787;DisplayOverlay;2;0;-3;;fkalm7776l5aqr3b.onion;-0,8135845;-2,30276;0,47286373295111;0,576806166673622;
fkalm7776l5aqr3b.onion220214223814;DisplayOverlay;2;0;-3;;fkalm7776l5aqr3b.onion;0,02191439;-2,655163;0,500730931768588;0,588560208556419;
fkalm7776l5aqr3b.onion220214224151;DisplayLongOverlay;WrongSolution2;0;-3;
fkalm7776l5aqr3b.onion220214224376;DisplayOverlay;2;0;-3;;fkalm7776l5aqr3b.onion;0,4103565;-2,067864;0,51368701500301;0,568971456166941;
fkalm7776l5aqr3b.onion220214224399;DisplayOverlay;2;-1;6;;fkalm7776l5aqr3b.onion;-1,213673;4,411006;0,459519196525816;0,35287547255179;
fkalm7776l5aqr3b.onion220214224544;DisplayOverlay;2;-5;5;;fkalm7776l5aqr3b.onion;-4,5486;3,969375;0,348286160009039;0,367605618951235;
fkalm7776l5aqr3b.onion220214224657;DisplayOverlay;2;-9;7;;fkalm7776l5aqr3b.onion;-8,087033;5,654707;0,230265396230986;0,311393116775512;
fkalm7776l5aqr3b.onion220214224782;DisplayOverlay;2;-12;3;;fkalm7776l5aqr3b.onion;-11,14755;2,134764;0,128185048685303;0,428797163251502;
fkalm7776l5aqr3b.onion220214225120;DisplayLongOverlay;WrongSolution2;-12;3;
fkalm7776l5aqr3b.onion220214225387;DisplayOverlay;1;2;1;;fkalm7776l5aqr3b.onion;1,807088;0,2514136;0,560273545809023;0,491614359783616;
fkalm7776l5aqr3b.onion220214225469;DisplayOverlay;1;2;1;;fkalm7776l5aqr3b.onion;1,997621;1,013241;0,566628577728535;0,466204396016722;
fkalm7776l5aqr3b.onion220214225618;DisplayOverlay;2;-6;-3;;fkalm7776l5aqr3b.onion;-5,670023;-2,265404;0,310882267169636;0,57556019939548;
fkalm7776l5aqr3b.onion220214225981;DisplayLongOverlay;CorrectSolution2;-6;-3;4;
